PRODUCT_CODE,VAT,PRICE_NOT_VAT,PRICE,FROM_DATE,PRICELIST_ID
13010,8,197500,213300,2023-12-23 12:00:00,1013619
13012,8,197500,213300,2023-12-23 12:00:00,1013619
13014,8,197500,213300,2023-12-23 12:00:00,1013619
13017,8,197500,213300,2023-12-23 12:00:00,1013619
33003,8,10185.19,11000.01,2023-12-23 12:00:00,1013619
35016,8,10,10.8,2023-12-23 12:00:00,1013619
51013,8,225000,243000,2023-12-23 12:00:00,1013619
51015,8,225000,243000,2023-12-23 12:00:00,1013619


Created and updated price for a product 
