M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574954,1,2025-02-04 14:44:17,1057791;1057338,10030,N,24,0,24,412717.27,9905214.48,8,792417.16,412717.27,Y,N,,Y,Y,0;201844.44,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574955,2,2025-02-04 14:44:17,1057791;1057338,13018,N,48,0,48,504030.68,24193472.64,8,1935477.81,504030.68,Y,N,,Y,Y,0;403688.89,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574956,3,2025-02-04 14:44:17,1057791;1057338,51022,N,120,0,120,569576.85,68349222,8,5467937.76,569576.85,Y,N,,Y,Y,0;1009222.22,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574957,4,2025-02-04 14:44:17,1057791;1057338,19077,N,36,0,36,484593.52,17445366.72,8,1395629.34,484593.52,Y,N,,Y,Y,0;302766.67,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574958,5,2025-02-04 14:44:17,1057791;1057338,85005,N,24,0,24,293377.78,7041066.72,8,563285.34,293377.78,Y,N,,Y,Y,0;100911.11,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574959,6,2025-02-04 14:44:17,1057791;1057339,43023,N,96,0,96,278008.33,26688799.68,8,2135103.97,278008.33,Y,N,,Y,Y,0;488888.89,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574960,7,2025-02-04 14:44:17,1057791;1057339,48038,N,72,0,72,545618.52,39284533.44,8,3142762.68,545618.52,Y,N,,Y,Y,0;733333.33,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574961,8,2025-02-04 14:44:17,1057791;1057339,45180,N,24,0,24,386499.07,9275977.68,8,742078.21,386499.07,Y,N,,Y,Y,0;122222.22,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574962,9,2025-02-04 14:44:17,1057791;1057339,70009,N,66,0,66,395539.81,26105627.46,8,2088450.2,395539.81,Y,N,,Y,Y,0;336111.11,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574963,10,2025-02-04 14:44:17,1057791;1057339,70176,N,30,0,30,395539.81,11866194.3,8,949295.54,395539.81,Y,N,,Y,Y,0;152777.78,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574964,11,2025-02-04 14:44:17,1057791;1057340,76035,N,168,0,168,290062.96,48730577.28,8,3898446.18,290062.96,Y,N,,Y,Y,0;706377.78,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574965,12,2025-02-04 14:44:17,1057791;1057340,76179,N,72,0,72,290062.96,20884533.12,8,1670762.65,290062.96,Y,N,,Y,Y,0;302733.33,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574966,13,2025-02-04 14:44:17,1057791;1057340,76036,N,372,0,372,602685.19,224198890.68,8,17935911.25,602685.19,Y,N,,Y,Y,0;3128588.89,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574967,14,2025-02-04 14:44:17,1057791;1057340,76178,N,108,0,108,602685.19,65090000.52,8,5207200.04,602685.19,Y,N,,Y,Y,0;908300,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574968,15,2025-02-04 14:44:17,1057791;1057340,76165,N,24,0,24,1038239.81,24917755.44,8,1993420.44,1038239.81,Y,N,,Y,Y,0;403688.89,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574969,16,2025-02-04 14:44:17,1057791;1057340,76032,N,72,0,72,1038239.81,74753266.32,8,5980261.31,1038239.81,Y,N,,Y,Y,0;1211066.67,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574970,17,2025-02-04 14:44:17,1057791;1057341,89012,N,240,0,240,370175,88842000,8,7107360,370175,Y,N,,Y,Y,0;1055555.56,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574971,18,2025-02-04 14:44:17,1057791;1057341,89013,N,540,0,540,792837.96,428132498.4,8,34250599.87,792837.96,Y,N,,Y,Y,0;4750000,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574972,19,2025-02-04 14:44:17,1057791;1057341,89016,N,96,0,96,370175,35536800,8,2842944,370175,Y,N,,Y,Y,0;422222.22,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574973,20,2025-02-04 14:44:17,1057791;1057341,89017,N,240,0,240,792837.96,190281110.4,8,15222488.83,792837.96,Y,N,,Y,Y,0;2111111.11,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574974,21,2025-02-04 14:44:17,1057791;1057342,29043,N,144,0,144,359125,51714000,8,4137120,359125,Y,N,,Y,Y,0;655466.67,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574975,22,2025-02-04 14:44:17,1057791;1057342,29044,N,36,0,36,787312.96,28343266.56,8,2267461.32,787312.96,Y,N,,Y,Y,0;327766.67,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574976,23,2025-02-04 14:44:17,1057791;1057342,30012,N,144,0,144,449366.67,64708800.48,8,5176704.04,449366.67,Y,N,,Y,Y,0;655466.67,,1000103,
M0000001594161,Promotion Order,,TGS16,1013289,100054943,61026,8864,,11574977,24,2025-02-04 14:44:17,1057791,80113,N,132,0,132,134210.23,17715750.36,8,1417260.03,134210.23,N,N,,N,Y,0,,1000103,
